Berlin;Staatsbibliothek;1, 1a
Berlin;UB der Freien Universität;188
Berlin;UB der Techn. Universität;83
Berlin;UB der Humboldt-Universität;11
Berlin;Akademie d. Wissenschaften;B 4
Berlin;Zentral- u. Landesbibl., STB;109
Berlin;Ibero-Amerikanisches Institut;204
Berlin;Bildungsgesch. Forschung;B 478
Berlin;Med. Bibl.-CVK der Charité;578/3
Berlin;Bibl. d. Hochschule d. Künste;B 170
Berlin;Staatl. Inst. f. Musikforschung;B 763
Berlin;HB f. Technik u. Wirtschaft;523
