Erfurt;Universitätsbibliothek Erfurt/Gotha;547/39
Erfurt;Bibliothek der Fachhochschule Erfurt;546
Erfurt;Stadt- u. Regionalbibl.;63
Gera;Stadt- und Regionalbibl.;140
Gotha;Stadtbibliothek;1238
Illmenau;Universitätsbibliothek;Ilm 1
Jena;Universitäts- u. Landesbibliothek;27
Jena;Fachhochschule;J 59
Rudolstadt;Stadtbibliothek;78
Suhl;Stadt- u. Regionalbibl.;194
Weimar;Universitätsbibliothek;Wim 2
Weimar;Herzogin Anna-Amalia-Bibliothek;32
Weimar;Musik HS;Wim 8
Weimar;Material- u. Prüfstelle (MPFA);Wim 21
Weimar;Landesamt f. Archäologie;Wim 7
