Borstel;Forschungszentrum;Bst 1
Hamburg;Staats- und Universitätsbibliothek;18
Hamburg;Universitätsbibliothek der Universität der Bundeswehr;705
Hamburg;Universitätsbibliothek der TU Hamburg-Harburg;830
Hamburg;Zentralbibliothek für Wirtschaftswissenschaften (ZBW);206 H
Hamburg;Infozentrum HafenCity Universität;1373
