Eutin;Landesbibliothek;138
Flensburg;Landeszentralbibliothek;455
Flensburg;Zentrale Hochschulbibl.;Fl 3
Flensburg;Universitätsbibliothek der Universität der Bundeswehr;705
Flensburg;Universitätsbibliothek der TU Hamburg-Harburg;830
Heide;Fachhochschulbibliothek;1041
Kiel;Landesbibliothek;68
Kiel;Zentralbibliothek f. Wirtschaftswissenschaften (ZBW);206
Kiel;Universitätsbibliothek;8
Kiel;BfA f. Ernährung u. Lebensm.;Ki 29
Kiel;FA der Bw f. Wasserschall/Geoph.;Ki 131
Kiel;IFM Geomar;Ki 109/130
Lübeck;Bibl. der Hansestadt, Stadtbibliothek;48
Lübeck;Zentrale Hochschulbibl.;841
