Braunschweig;Universitätsbibliothek;84
Braunschweig;Stadtarchiv u. Stadtbibliothek;56
Braunschweig;Bibl. d. Biol. Bundesanstalt f. Land- u. Forstw.;Bs 66
Braunschweig;Physikalisch- Technische Bundesanstalt;Bs 68
Braunschweig;Johann Heinrich v. Thünen-Inst.;253
Braunschweig;HS f. Bildende Künste;834
Bremen;Staats-u. Universitätsbibliothek;46
Bremen;Stadtbibliothek;478
Bremen;Jacobs University, Library;579
Bremerhaven;Stadtbibliothek;134
Clausthal-Zellerfeld;Universitätsbibliothek;104
Göttingen;Staats- und Universitätsbibliothek;7
Göttingen;Stadtbibliothek;285
Göttingen;Bibl. der Forstl. Fakultät;7/0001
Göttingen;Otto-Hahn-Bibliothek;Gö116
Göttingen;FH Hildesheim/ Holzminden, FB Forstwiss.;Hil3/2
Hannover;Landesbibliothek;35
Hannover;UB u. Techn. Informationsbibl. (TIB);89
Hannover;Stadtbibliothek;115
Hannover;Bibl. d. Medizinischen Hochschule;354
Hannover;Bibl. d. Tierärztlichen Hochschule;95
Hannover;Bibl. d. Nds. Landtages;Hv14
Hannover;Fachhochschulbibliothek;960
Hannover;Bibl. im Kurt-Schwitters-Forum;960/3
Hannover;Teilbibl. Diakonie, Gesundheit;960/7
Hildesheim;Stadtbibliothek;116
Hildesheim;Universitätsbibliothek;Hil 2
Lüneburg;Universitätsbibliothek;Lün 4
Lüneburg;Fachhochschulen;Lün 4/1
Oldenburg;Landesbibliothek;45
Oldenburg;Universitätsbibliothek ( BIS );715
Osnabrück;Stadtbibliothek;153
Osnabrück;Universitätsbibliothek;700
Osnabrück;Fachhochschulbibliothek;959
Salzgitter;Stadtbibliothek;275
Vechta;Hochschulbibliothek;Va 1
Wolfenbüttel;Herzog - August - Bibliothek;23
Wolfenbüttel;FH Braunschweig / Wolfenbüttel;916
Wolfsburg;Stadtbibliothek;351
